
================================ SCRIPT 4 ================================


Elapsed time (GRF fit):
Time difference of 3.347275 secs
======== Start:  sc64_64_64_sh1_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.082144, validation loss: 2.129073 , lr= 1e-04
==== End:  sc64_64_64_64_64_64_sh1_SSNN_u_do0_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_sh5_3_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.198548, validation loss: 2.376312 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.815392, validation loss: 1.931075 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.78262, validation loss: 1.906551 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.76754, validation loss: 1.906336 , lr= 1.6e-05
Epoch: 400 out of 1000 , average train loss: 1.767054, validation loss: 1.906471 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.766985, validation loss: 1.906491 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.766916, validation loss: 1.906513 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.76684, validation loss: 1.90654 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.766759, validation loss: 1.906565 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.766691, validation loss: 1.906588 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.766621, validation loss: 1.906609 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.396682, validation loss: 2.310821 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.860674, validation loss: 1.939506 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.822673, validation loss: 1.907278 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.803265, validation loss: 1.896414 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.788187, validation loss: 1.891619 , lr= 1e-04
Epoch: 500 out of 1000 , average train loss: 1.774103, validation loss: 1.889996 , lr= 1e-04
Epoch: 600 out of 1000 , average train loss: 1.765457, validation loss: 1.890628 , lr= 6.4e-06
Epoch: 700 out of 1000 , average train loss: 1.764963, validation loss: 1.890729 , lr= 2.56e-06
Epoch: 800 out of 1000 , average train loss: 1.76469, validation loss: 1.890793 , lr= 4.096e-07
Early tolerence stopping at epoch: 807 , average train loss: 1.764686, validation loss: 1.890794, lr= 4.096e-07 
Epoch: 1 out of 1000 , average train loss: 2.179501, validation loss: 2.258744 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.847549, validation loss: 1.93979 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.819268, validation loss: 1.914934 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.802117, validation loss: 1.906557 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.787261, validation loss: 1.902892 , lr= 1e-04
Epoch: 500 out of 1000 , average train loss: 1.772674, validation loss: 1.901522 , lr= 1e-04
Epoch: 600 out of 1000 , average train loss: 1.760623, validation loss: 1.902359 , lr= 4e-05
Epoch: 700 out of 1000 , average train loss: 1.758326, validation loss: 1.902969 , lr= 2.56e-06
Early tolerence stopping at epoch: 798 , average train loss: 1.758183, validation loss: 1.90301, lr= 4.096e-07 
==== End:  sc64_64_64_sh5_3_SSNN_u_do0_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_sh5_3_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.812645, validation loss: 2.534282 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.824088, validation loss: 1.911717 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.789523, validation loss: 1.898545 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.772922, validation loss: 1.900728 , lr= 2.56e-06
Epoch: 400 out of 1000 , average train loss: 1.772772, validation loss: 1.900768 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.77267, validation loss: 1.900796 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.772568, validation loss: 1.900824 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.772467, validation loss: 1.900853 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.772364, validation loss: 1.900879 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.772262, validation loss: 1.900905 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.772159, validation loss: 1.900933 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.284038, validation loss: 2.364464 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.82056, validation loss: 1.942366 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.787301, validation loss: 1.934232 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.780307, validation loss: 1.935865 , lr= 4.096e-07
Epoch: 400 out of 1000 , average train loss: 1.780198, validation loss: 1.935898 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.780112, validation loss: 1.935916 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.780026, validation loss: 1.935929 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.779927, validation loss: 1.935948 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.779822, validation loss: 1.935974 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.779717, validation loss: 1.936 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.77961, validation loss: 1.936026 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.487916, validation loss: 2.40002 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.81117, validation loss: 1.910361 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.780727, validation loss: 1.906738 , lr= 4e-05
Epoch: 300 out of 1000 , average train loss: 1.777636, validation loss: 1.908279 , lr= 1.024e-06
Epoch: 400 out of 1000 , average train loss: 1.777524, validation loss: 1.908332 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.777436, validation loss: 1.908371 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.777344, validation loss: 1.908409 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.777263, validation loss: 1.908453 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.777172, validation loss: 1.908491 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.777073, validation loss: 1.908532 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.776973, validation loss: 1.90857 , lr= 4.096e-07
==== End:  sc64_64_64_64_sh5_3_SSNN_u_do0_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_64_64_sh5_3_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.247641, validation loss: 2.241859 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.766638, validation loss: 1.912606 , lr= 4e-05
Epoch: 200 out of 1000 , average train loss: 1.760958, validation loss: 1.913203 , lr= 4.096e-07
Epoch: 300 out of 1000 , average train loss: 1.760706, validation loss: 1.913251 , lr= 4.096e-07
Epoch: 400 out of 1000 , average train loss: 1.760454, validation loss: 1.913294 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.760202, validation loss: 1.913336 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.75995, validation loss: 1.913377 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.759698, validation loss: 1.913421 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.759447, validation loss: 1.913466 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.759195, validation loss: 1.913517 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.758942, validation loss: 1.91357 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.441054, validation loss: 2.358264 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.798462, validation loss: 1.915871 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.76381, validation loss: 1.916436 , lr= 4e-05
Epoch: 300 out of 1000 , average train loss: 1.758469, validation loss: 1.917939 , lr= 4.096e-07
Epoch: 400 out of 1000 , average train loss: 1.758277, validation loss: 1.918009 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.758091, validation loss: 1.918079 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.757903, validation loss: 1.918146 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.757715, validation loss: 1.918213 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.757528, validation loss: 1.918282 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.757342, validation loss: 1.91835 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.757156, validation loss: 1.918414 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.451286, validation loss: 2.409478 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.798552, validation loss: 1.914019 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.76786, validation loss: 1.914291 , lr= 1.6e-05
Epoch: 300 out of 1000 , average train loss: 1.764043, validation loss: 1.915028 , lr= 2.56e-06
Epoch: 400 out of 1000 , average train loss: 1.763533, validation loss: 1.915112 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.763383, validation loss: 1.915138 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.763232, validation loss: 1.91517 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.763082, validation loss: 1.915202 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.76293, validation loss: 1.915231 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.762778, validation loss: 1.915266 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.762626, validation loss: 1.915299 , lr= 4.096e-07
==== End:  sc64_64_64_64_64_64_sh5_3_SSNN_u_do0_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_sh5_3_3_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.217883, validation loss: 2.330154 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.826572, validation loss: 1.931277 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.795796, validation loss: 1.910503 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.779666, validation loss: 1.906766 , lr= 4e-05
Epoch: 400 out of 1000 , average train loss: 1.774255, validation loss: 1.906801 , lr= 1.6e-05
Epoch: 500 out of 1000 , average train loss: 1.772312, validation loss: 1.907036 , lr= 6.4e-06
Early tolerence stopping at epoch: 564 , average train loss: 1.772163, validation loss: 1.907061, lr= 4.096e-07 
Epoch: 1 out of 1000 , average train loss: 1.990688, validation loss: 2.075011 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.834864, validation loss: 1.920585 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.808268, validation loss: 1.899384 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.792742, validation loss: 1.893097 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.779922, validation loss: 1.892724 , lr= 1.6e-05
Epoch: 500 out of 1000 , average train loss: 1.778986, validation loss: 1.8929 , lr= 2.56e-06
Epoch: 600 out of 1000 , average train loss: 1.778666, validation loss: 1.892948 , lr= 2.56e-06
Early tolerence stopping at epoch: 656 , average train loss: 1.778567, validation loss: 1.892963, lr= 4.096e-07 
Epoch: 1 out of 1000 , average train loss: 2.135151, validation loss: 2.220834 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.847886, validation loss: 1.919609 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.813119, validation loss: 1.89097 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.795005, validation loss: 1.88281 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.781207, validation loss: 1.881715 , lr= 1e-04
Epoch: 500 out of 1000 , average train loss: 1.768642, validation loss: 1.883841 , lr= 1e-04
Epoch: 600 out of 1000 , average train loss: 1.760851, validation loss: 1.886487 , lr= 6.4e-06
Epoch: 700 out of 1000 , average train loss: 1.76032, validation loss: 1.886667 , lr= 4.096e-07
Early tolerence stopping at epoch: 724 , average train loss: 1.760308, validation loss: 1.886672, lr= 4.096e-07 
==== End:  sc64_64_64_sh5_3_3_SSNN_u_do0_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_sh5_3_3_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.314809, validation loss: 2.379747 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.813993, validation loss: 1.929863 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.778194, validation loss: 1.912853 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.760817, validation loss: 1.915397 , lr= 6.4e-06
Epoch: 400 out of 1000 , average train loss: 1.76021, validation loss: 1.915522 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.760108, validation loss: 1.915551 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.760006, validation loss: 1.915585 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.759903, validation loss: 1.915615 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.759802, validation loss: 1.915642 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.75972, validation loss: 1.915657 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.759632, validation loss: 1.915679 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.329922, validation loss: 2.383506 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.8039, validation loss: 1.931453 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.764844, validation loss: 1.927388 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.751393, validation loss: 1.932151 , lr= 6.4e-06
Epoch: 400 out of 1000 , average train loss: 1.750796, validation loss: 1.93241 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.75068, validation loss: 1.932465 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.750564, validation loss: 1.932517 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.750447, validation loss: 1.93257 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.750331, validation loss: 1.932625 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.750215, validation loss: 1.932682 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.750098, validation loss: 1.932734 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.358792, validation loss: 2.366463 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.80994, validation loss: 1.929916 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.77356, validation loss: 1.914644 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.751871, validation loss: 1.91723 , lr= 4e-05
Epoch: 400 out of 1000 , average train loss: 1.748666, validation loss: 1.918155 , lr= 1.024e-06
Epoch: 500 out of 1000 , average train loss: 1.748507, validation loss: 1.918208 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.748428, validation loss: 1.918238 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.748355, validation loss: 1.918266 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.748274, validation loss: 1.918293 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.7482, validation loss: 1.918323 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.748125, validation loss: 1.918356 , lr= 4.096e-07
==== End:  sc64_64_64_64_sh5_3_3_SSNN_u_do0_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_64_64_sh5_3_3_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.350777, validation loss: 2.517723 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.768927, validation loss: 1.916087 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.751772, validation loss: 1.918646 , lr= 2.56e-06
Epoch: 300 out of 1000 , average train loss: 1.751249, validation loss: 1.918804 , lr= 4.096e-07
Epoch: 400 out of 1000 , average train loss: 1.75105, validation loss: 1.918862 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.750851, validation loss: 1.918919 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.750654, validation loss: 1.918984 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.750457, validation loss: 1.919049 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.750262, validation loss: 1.919113 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.750067, validation loss: 1.919181 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.749872, validation loss: 1.91925 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.73952, validation loss: 2.714192 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.769645, validation loss: 1.923561 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.735737, validation loss: 1.930518 , lr= 2.56e-06
Epoch: 300 out of 1000 , average train loss: 1.735296, validation loss: 1.930708 , lr= 4.096e-07
Epoch: 400 out of 1000 , average train loss: 1.735075, validation loss: 1.930786 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.734855, validation loss: 1.930865 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.734635, validation loss: 1.930941 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.734413, validation loss: 1.931027 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.734194, validation loss: 1.931117 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.733973, validation loss: 1.931214 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.733751, validation loss: 1.931301 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.284041, validation loss: 2.139454 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.824056, validation loss: 1.934066 , lr= 1e-04
